pais,año,valor,energia_per_capita
andorra-frontera,2015,-265.52,-0.0037008334959440243
andorra-frontera,2016,-278.92,-0.0038450510063413293
andorra-frontera,2017,-234.68,-0.003178352316589244
andorra-frontera,2018,-212.62,-0.002834442030048125
andorra-frontera,2019,-210.68,-0.0027596505246060546
andorra-frontera,2020,-202.19,-0.0026021879021879022
andorra-frontera,2021,-229.15,-0.002899385074777944
andorra-frontera,2022,-292.54,-0.0036648125876929246
andorra-frontera,2023,-241.71,-0.0030180551393467186
andorra-frontera,2024,-241.19,-0.0030036114570361145
andorra-frontera,2025,-81.63,-0.0010140372670807453
francia-frontera,2015,-1830.16,-2.842084012733908e-05
francia-frontera,2016,-4350.46,-6.721971569839308e-05
francia-frontera,2017,-3123.76,-4.8044541511581414e-05
francia-frontera,2018,-3479.88,-5.334539266935447e-05
francia-frontera,2019,-3129.24,-4.794080247575567e-05
francia-frontera,2020,-6201.51,-9.500735361706039e-05
francia-frontera,2021,-6291.37,-9.616008926115e-05
francia-frontera,2022,-13381.4,-0.0002040905347283653
francia-frontera,2023,-9066.9,-0.0001381454451266893
francia-frontera,2024,-7096.74,-0.00010801735159817351
francia-frontera,2025,-3498.96,-5.3216121673003805e-05
marruecos-frontera,2015,-4940.94,-0.00014434109432970115
marruecos-frontera,2016,-4959.2,-0.00014315157463268193
marruecos-frontera,2017,-5756.28,-0.0001641930515146329
marruecos-frontera,2018,-3568.99,-0.00010058593089453808
marruecos-frontera,2019,-449.99,-1.253349302286717e-05
marruecos-frontera,2020,-707.77,-1.949994489750937e-05
marruecos-frontera,2021,-515.8,-1.4041487450318504e-05
marruecos-frontera,2022,-1853.77,-4.99264745488823e-05
marruecos-frontera,2023,-2316.43,-6.177311394970532e-05
marruecos-frontera,2024,-2897.75,-7.657901691331924e-05
marruecos-frontera,2025,-509.76,-1.3359190733266943e-05
portugal-frontera,2015,-8077.15,-0.0007810552414437988
portugal-frontera,2016,-4616.84,-0.00044782068083712103
portugal-frontera,2017,-5505.13,-0.0005349446658725121
portugal-frontera,2018,-5669.01,-0.0005513656122365019
portugal-frontera,2019,-8099.01,-0.0007866240853527357
portugal-frontera,2020,-7553.58,-0.0007335651724988859
portugal-frontera,2021,-9543.45,-0.0009267058137633456
portugal-frontera,2022,-12315.15,-0.0011957126141920766
portugal-frontera,2023,-13654.37,-0.0013255905436133102
portugal-frontera,2024,-14356.4,-0.001393586438828686
portugal-frontera,2025,-2607.83,-0.0002531152285135033
